# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
18000000	-43857.1	-26676.2	-17180.9	-26676.2	0.28595	0.00234018	1.93752	10.3297	139.875	0.0827494	4.84613	0.320219	0.21091	0.194967	0.273905
18200000	-44104.3	-26694.3	-17410	-26694.3	0.278576	0.00219804	1.87589	14.8721	108.979	0.0941502	5.92339	0.315584	0.211572	0.201017	0.271827
18400000	-39280.3	-26692.9	-12587.4	-26692.9	0.308523	0.0016022	3.93919	10.3089	92.0807	0.180753	7.91388	0.317742	0.20857	0.201644	0.272044
18600000	-44109.9	-26661.5	-17448.4	-26661.5	0.273641	0.00195367	0.594976	11.5234	114.167	0.123853	4.86099	0.318164	0.213296	0.197845	0.270695
18800000	-36445.4	-26652.1	-9793.25	-26652.1	0.265619	0.00195333	0.387103	7.13249	116.532	0.183425	13.863	0.322269	0.207931	0.201158	0.268641
19000000	-41578.8	-26693.4	-14885.4	-26693.4	0.292277	0.0019913	2.83858	11.1079	107.878	0.126129	4.30849	0.315589	0.217787	0.206512	0.260113
19200000	-43716.4	-26673.5	-17042.8	-26673.5	0.272283	0.00210502	1.95007	7.02732	148.561	0.0701039	4.00917	0.313894	0.212483	0.200943	0.27268
19400000	-45451.2	-26657.9	-18793.3	-26657.9	0.286615	0.00297821	1.29281	6.05609	140.378	0.0644973	7.60334	0.322941	0.210592	0.197748	0.268719
19600000	-38518.7	-26683.8	-11834.9	-26683.8	0.299069	0.00223247	4.2846	10.0869	134.899	0.126677	8.45869	0.318421	0.215072	0.207443	0.259064
19800000	-45804.9	-26660.6	-19144.3	-26660.6	0.295142	0.00226233	1.18108	9.34443	140.53	0.0619429	0.451951	0.319104	0.211472	0.202261	0.267163
20000000	-40587	-26674.2	-13912.9	-26674.2	0.298253	0.00243611	3.41504	14.1961	123.53	0.0838985	3.41663	0.318141	0.215072	0.196963	0.269825
20200000	-45860.1	-26660	-19200.1	-26660	0.286752	0.00226841	1.02101	9.38801	131.547	0.0822708	6.26686	0.321911	0.211859	0.196932	0.269299
20400000	-44654.7	-26707.5	-17947.2	-26707.5	0.379996	0.00121505	1.75513	9.88895	65.987	0.14372	-2.66842	0.32429	0.207383	0.1993	0.269026
20600000	-43823.1	-26689.4	-17133.7	-26689.4	0.320828	0.00186245	1.99095	8.45769	117.063	0.104004	4.23213	0.317195	0.213929	0.197795	0.271081
